,Price,Condition,Seller,ProductName,Brand,Feature1Name,Feature1,Feature2Name,Feature2
2,$48.75,New,games_for_sale,"Pokemon: Let's Go, Eevee!",by Nintendo,Platform:,Nintendo Switch,Edition:,"Let's Go, Eevee!"
3,$45.99,New,magical_realism,"Pokemon: Let's Go, Eevee!",by Nintendo,Platform:,Nintendo Switch,Edition:,"Let's Go, Eevee!"
4,$53.99,New,SkyNetWorks,"Pokemon: Let's Go, Eevee!",by Nintendo,Platform:,Nintendo Switch,Edition:,"Let's Go, Eevee!"
5,$53.99,New,J.F.J(We record Serial number to prevent FRAUD),"Pokemon: Let's Go, Eevee!",by Nintendo,Platform:,Nintendo Switch,Edition:,"Let's Go, Eevee!"
6,$59.95,New,game-ware,"Pokemon: Let's Go, Eevee!",by Nintendo,Platform:,Nintendo Switch,Edition:,"Let's Go, Eevee!"
7,$55.95,New,RAREWAVES-USA,"Pokemon: Let's Go, Eevee!",by Nintendo,Platform:,Nintendo Switch,Edition:,"Let's Go, Eevee!"
9,$47.59,New,Springfield Distribution,"Pokemon: Let's Go, Eevee!",by Nintendo,Platform:,Nintendo Switch,Edition:,"Let's Go, Eevee!"
2,$104.97,New,RAREWAVES-USA,"Pokémon: Let’s Go, Eevee! + Poké Ball Plus Pack",by Nintendo,Platform:,Nintendo Switch,Edition:,"Let's Go, Eevee! Bundle"
3,$110.90,New,Toneman Shop,"Pokémon: Let’s Go, Eevee! + Poké Ball Plus Pack",by Nintendo,Platform:,Nintendo Switch,Edition:,"Let's Go, Eevee! Bundle"
4,$119.30,New,WorldWide Distributors,"Pokémon: Let’s Go, Eevee! + Poké Ball Plus Pack",by Nintendo,Platform:,Nintendo Switch,Edition:,"Let's Go, Eevee! Bundle"
5,$119.30,New,Delaware,"Pokémon: Let’s Go, Eevee! + Poké Ball Plus Pack",by Nintendo,Platform:,Nintendo Switch,Edition:,"Let's Go, Eevee! Bundle"
6,$129.00,New,Murloc Express,"Pokémon: Let’s Go, Eevee! + Poké Ball Plus Pack",by Nintendo,Platform:,Nintendo Switch,Edition:,"Let's Go, Eevee! Bundle"
